datetime,portfolio_value,cash,return
2023-01-03 09:30:00-05:00,100000.0,100000.0,
2023-01-04 09:30:00-05:00,100001.52000427246,99820.82000732422,1.5200042724705654e-05
2023-01-05 09:30:00-05:00,99995.76000976562,99820.82000732422,-5.759906956004368e-05
2023-01-06 09:30:00-05:00,99994.40000915527,99820.82000732422,-1.36005827668928e-05
2023-01-07 09:30:00-05:00,99994.40000915527,99820.82000732422,0.0
2023-01-09 09:30:00-05:00,99997.54000854492,99820.82000732422,3.140175239169096e-05
2023-01-10 09:30:00-05:00,99992.78001403809,99820.82000732422,-4.7601116051732006e-05
2023-01-11 09:30:00-05:00,99999.18000793457,99820.82000732422,6.40045600850403e-05
2023-01-12 09:30:00-05:00,100003.78001403809,99820.82000732422,4.6000438234994334e-05
2023-01-13 09:30:00-05:00,100002.52000427246,99820.82000732422,-1.2599621388775795e-05
2023-01-14 09:30:00-05:00,100002.52000427246,99820.82000732422,0.0
2023-01-17 09:30:00-05:00,100004.9400024414,99820.82000732422,2.4199371864153107e-05
2023-01-18 09:30:00-05:00,100005.10000610352,99820.82000732422,1.5999575830871748e-06
2023-01-19 09:30:00-05:00,100002.26000976562,99820.82000732422,-2.8398515052874274e-05
2023-01-20 09:30:00-05:00,100011.02000427246,99820.82000732422,8.759796534585362e-05
2023-01-21 09:30:00-05:00,100011.02000427246,99820.82000732422,0.0
2023-01-23 09:30:00-05:00,100016.7200012207,99820.82000732422,5.6993688775541784e-05
2023-01-24 09:30:00-05:00,100017.02000427246,99820.82000732422,2.9995289962947425e-06
2023-01-25 09:30:00-05:00,100011.96000671387,99820.82000732422,-5.059136493346106e-05
2023-01-26 09:30:00-05:00,100013.82000732422,99820.82000732422,1.859778180746119e-05
2023-01-27 09:30:00-05:00,100015.4400024414,99820.82000732422,1.619771264671499e-05
2023-01-28 09:30:00-05:00,100015.4400024414,99820.82000732422,0.0
2023-01-30 09:30:00-05:00,100015.78001403809,99820.82000732422,3.39959106976373e-06
2023-01-31 09:30:00-05:00,100014.56001281738,99820.82000732422,-1.2198087347092823e-05
2023-02-01 09:30:00-05:00,100018.24000549316,99820.82000732422,3.6794569463705074e-05
2023-02-02 09:30:00-05:00,100032.42001342773,99820.82000732422,0.00014177421972028093
2023-02-03 09:30:00-05:00,100026.68000793457,99820.82000732422,-5.738145185729682e-05
2023-02-04 09:30:00-05:00,100026.68000793457,99820.82000732422,0.0
2023-02-06 09:30:00-05:00,100025.62001037598,99820.82000732422,-1.0597148265900636e-05
2023-02-07 09:30:00-05:00,100027.26000976562,99820.82000732422,1.6395793292600658e-05
2023-02-08 09:30:00-05:00,100024.92001342773,99820.82000732422,-2.339358628500321e-05
2023-02-09 09:30:00-05:00,100020.82000732422,99820.82000732422,-4.098984635991787e-05
2023-02-10 09:30:00-05:00,100011.7200012207,99820.82000732422,-9.098111875960324e-05
2023-02-11 09:30:00-05:00,100011.7200012207,99820.82000732422,0.0
2023-02-13 09:30:00-05:00,100010.30000305176,99820.82000732422,-1.4198317646485492e-05
2023-02-14 09:30:00-05:00,100009.68000793457,99820.82000732422,-6.199312642451993e-06
2023-02-15 09:30:00-05:00,100009.80000305176,99820.82000732422,1.1998350277764303e-06
2023-02-16 09:30:00-05:00,100011.56001281738,99820.82000732422,1.7598373015070834e-05
2023-02-17 09:30:00-05:00,100010.52000427246,99820.82000732422,-1.039888333698169e-05
2023-02-18 09:30:00-05:00,100010.52000427246,99820.82000732422,0.0
2023-02-21 09:30:00-05:00,100006.82000732422,99820.82000732422,-3.699607749352296e-05
2023-02-22 09:30:00-05:00,100004.2200012207,99820.82000732422,-2.5998287950024235e-05
2023-02-23 09:30:00-05:00,100004.66000366211,99820.82000732422,4.399838740898332e-06
2023-02-24 09:30:00-05:00,99999.70001220703,99820.82000732422,-4.959760330069951e-05
2023-02-25 09:30:00-05:00,99999.70001220703,99820.82000732422,0.0
